# °´Ã¼ 1
-30.00, -91.67
-37.50, -51.67
-40.62, 5.00
-43.75, 8.33
-43.75, 44.17
-41.25, 45.00
-39.38, 65.00
-35.00, 70.00
10.62, 73.33
24.38, 80.83
25.00, 84.17
73.12, 84.17
80.00, 53.33
83.12, 50.83
83.12, 11.67
80.62, 10.83
77.50, -16.67
75.00, -24.17
73.75, -71.67
62.50, -76.67
23.12, -81.67
16.25, -89.17
16.25, -91.67
-29.38, -91.67

# °´Ã¼ 2
-30.00, -91.67
-38.12, -46.67
-38.12, -18.33
-41.25, 7.50
-43.75, 8.33
-43.75, 44.17
-41.25, 45.00
-39.38, 65.00
-34.38, 70.00
11.25, 73.33
24.38, 80.83
25.00, 84.17
73.12, 84.17
80.00, 53.33
83.12, 50.83
83.12, 11.67
80.62, 10.83
77.50, -16.67
75.00, -24.17
73.75, -71.67
66.88, -75.83
36.25, -81.67
23.12, -81.67
16.25, -89.17
16.25, -91.67
-29.38, -91.67

# °´Ã¼ 3
-30.00, -91.67
-38.12, -45.83
-38.12, -17.50
-40.62, 5.83
-43.75, 9.17
-43.75, 43.33
-41.25, 44.17
-39.38, 65.00
-33.75, 70.00
11.88, 73.33
18.75, 79.17
25.00, 80.83
25.62, 84.17
73.12, 84.17
80.00, 52.50
83.12, 50.00
83.12, 12.50
80.62, 11.67
77.50, -15.83
75.00, -23.33
73.75, -71.67
66.25, -75.83
35.62, -81.67
23.12, -80.83
15.62, -89.17
15.62, -91.67
-29.38, -91.67

